function,bufferSize,PKNumber,chunkSize,genName,time
3lock_consumer,20,10,1,standard,64171.0
3lock_producer,20,10,1,standard,64681.0
3lock_consumer,20,10,2,standard,63941.0
3lock_producer,20,10,2,standard,65003.0
3lock_consumer,20,10,3,standard,65368.0
3lock_producer,20,10,3,standard,65362.0
3lock_consumer,20,10,4,standard,66114.0
3lock_producer,20,10,4,standard,65924.0
3lock_consumer,20,10,5,standard,66747.0
3lock_producer,20,10,5,standard,66755.0
3lock_consumer,20,10,6,standard,66948.0
3lock_producer,20,10,6,standard,67617.0
3lock_consumer,20,10,7,standard,67812.0
3lock_producer,20,10,7,standard,68056.0
3lock_consumer,20,10,8,standard,68175.0
3lock_producer,20,10,8,standard,68292.0
3lock_consumer,20,10,9,standard,69112.0
3lock_producer,20,10,9,standard,68552.0
3lock_consumer,20,10,10,standard,69897.0
3lock_producer,20,10,10,standard,69345.0
3lock_consumer,20,10,11,standard,70786.0
3lock_producer,20,10,11,standard,70773.0
3lock_consumer,20,10,12,standard,71553.0
3lock_producer,20,10,12,standard,71308.0
3lock_consumer,20,10,13,standard,72252.0
3lock_producer,20,10,13,standard,71596.0
3lock_consumer,20,10,14,standard,72484.0
3lock_producer,20,10,14,standard,72600.0
3lock_consumer,20,10,15,standard,73734.0
3lock_producer,20,10,15,standard,73257.0
3lock_consumer,20,10,16,standard,74078.0
3lock_producer,20,10,16,standard,74041.0
3lock_consumer,20,10,17,standard,74508.0
3lock_producer,20,10,17,standard,74978.0
3lock_consumer,20,10,18,standard,75304.0
3lock_producer,20,10,18,standard,74973.0
3lock_consumer,20,10,19,standard,76084.0
3lock_producer,20,10,19,standard,76055.0
2cond_consumer,20,10,1,standard,12359.0
2cond_producer,20,10,1,standard,12308.0
2cond_consumer,20,10,2,standard,24648.0
2cond_producer,20,10,2,standard,25036.0
2cond_consumer,20,10,3,standard,38029.0
2cond_producer,20,10,3,standard,38594.0
2cond_consumer,20,10,4,standard,51646.0
2cond_producer,20,10,4,standard,51246.0
2cond_consumer,20,10,5,standard,66305.0
2cond_producer,20,10,5,standard,65994.0
2cond_consumer,20,10,6,standard,81642.0
2cond_producer,20,10,6,standard,81020.0
2cond_consumer,20,10,7,standard,98444.0
2cond_producer,20,10,7,standard,97996.0
2cond_consumer,20,10,8,standard,116269.0
2cond_producer,20,10,8,standard,117447.0
2cond_consumer,20,10,9,standard,136057.0
2cond_producer,20,10,9,standard,135810.0
2cond_consumer,20,10,10,standard,157924.0
2cond_producer,20,10,10,standard,157681.0
2cond_consumer,20,10,11,standard,180884.0
2cond_producer,20,10,11,standard,181363.0
2cond_consumer,20,10,12,standard,206971.0
2cond_producer,20,10,12,standard,206800.0
2cond_consumer,20,10,13,standard,235605.0
2cond_producer,20,10,13,standard,235216.0
2cond_consumer,20,10,14,standard,266023.0
2cond_producer,20,10,14,standard,264801.0
2cond_consumer,20,10,15,standard,297853.0
2cond_producer,20,10,15,standard,296723.0
2cond_consumer,20,10,16,standard,326518.0
2cond_producer,20,10,16,standard,326866.0
2cond_consumer,20,10,17,standard,355520.0
2cond_producer,20,10,17,standard,354873.0
2cond_consumer,20,10,18,standard,381671.0
2cond_producer,20,10,18,standard,380079.0
2cond_consumer,20,10,19,standard,402681.0
2cond_producer,20,10,19,standard,407341.0
4cond_consumer,20,10,1,standard,415608.0
4cond_producer,20,10,1,standard,366802.0
4cond_consumer,20,10,2,standard,253280.0
4cond_producer,20,10,2,standard,272973.0
4cond_consumer,20,10,3,standard,350032.0
4cond_producer,20,10,3,standard,351042.0
4cond_consumer,20,10,4,standard,229905.0
4cond_producer,20,10,4,standard,456625.0
4cond_consumer,20,10,5,standard,447095.0
4cond_producer,20,10,5,standard,321648.0
4cond_consumer,20,10,6,standard,265654.0
4cond_producer,20,10,6,standard,321415.0
4cond_consumer,20,10,7,standard,337040.0
4cond_producer,20,10,7,standard,258367.0
4cond_consumer,20,10,8,standard,348968.0
4cond_producer,20,10,8,standard,451423.0
4cond_consumer,20,10,9,standard,357298.0
4cond_producer,20,10,9,standard,424967.0
4cond_consumer,20,10,10,standard,380313.0
4cond_producer,20,10,10,standard,476512.0
4cond_consumer,20,10,11,standard,333070.0
4cond_producer,20,10,11,standard,289797.0
4cond_consumer,20,10,12,standard,336117.0
4cond_producer,20,10,12,standard,324826.0
4cond_consumer,20,10,13,standard,415852.0
4cond_producer,20,10,13,standard,316191.0
4cond_consumer,20,10,14,standard,462537.0
4cond_producer,20,10,14,standard,374345.0
4cond_consumer,20,10,15,standard,419444.0
4cond_producer,20,10,15,standard,341228.0
4cond_consumer,20,10,16,standard,325334.0
4cond_producer,20,10,16,standard,407603.0
4cond_consumer,20,10,17,standard,208909.0
4cond_producer,20,10,17,standard,296400.0
4cond_consumer,20,10,18,standard,374710.0
4cond_producer,20,10,18,standard,378885.0
4cond_consumer,20,10,19,standard,514253.0
4cond_producer,20,10,19,standard,345650.0
3lock_consumer,200,100,1,standard,877387.0
3lock_producer,200,100,1,standard,871716.0
3lock_consumer,200,100,2,standard,868588.0
3lock_producer,200,100,2,standard,898365.0
3lock_consumer,200,100,3,standard,891771.0
3lock_producer,200,100,3,standard,882774.0
3lock_consumer,200,100,4,standard,889484.0
3lock_producer,200,100,4,standard,897230.0
3lock_consumer,200,100,5,standard,888838.0
3lock_producer,200,100,5,standard,865963.0
3lock_consumer,200,100,6,standard,893832.0
3lock_producer,200,100,6,standard,894337.0
3lock_consumer,200,100,7,standard,880436.0
3lock_producer,200,100,7,standard,847255.0
3lock_consumer,200,100,8,standard,884871.0
3lock_producer,200,100,8,standard,861304.0
3lock_consumer,200,100,9,standard,878021.0
3lock_producer,200,100,9,standard,874918.0
3lock_consumer,200,100,10,standard,889746.0
3lock_producer,200,100,10,standard,910309.0
3lock_consumer,200,100,11,standard,878076.0
3lock_producer,200,100,11,standard,877698.0
3lock_consumer,200,100,12,standard,872358.0
3lock_producer,200,100,12,standard,885188.0
3lock_consumer,200,100,13,standard,855890.0
3lock_producer,200,100,13,standard,900363.0
3lock_consumer,200,100,14,standard,846407.0
3lock_producer,200,100,14,standard,895966.0
3lock_consumer,200,100,15,standard,866326.0
3lock_producer,200,100,15,standard,891866.0
3lock_consumer,200,100,16,standard,881922.0
3lock_producer,200,100,16,standard,872545.0
3lock_consumer,200,100,17,standard,886814.0
3lock_producer,200,100,17,standard,881310.0
3lock_consumer,200,100,18,standard,875804.0
3lock_producer,200,100,18,standard,905424.0
3lock_consumer,200,100,19,standard,894795.0
3lock_producer,200,100,19,standard,899752.0
3lock_consumer,200,100,20,standard,878085.0
3lock_producer,200,100,20,standard,852468.0
3lock_consumer,200,100,21,standard,871776.0
3lock_producer,200,100,21,standard,903726.0
3lock_consumer,200,100,22,standard,893023.0
3lock_producer,200,100,22,standard,884973.0
3lock_consumer,200,100,23,standard,885775.0
3lock_producer,200,100,23,standard,890265.0
3lock_consumer,200,100,24,standard,864331.0
3lock_producer,200,100,24,standard,882967.0
3lock_consumer,200,100,25,standard,898868.0
3lock_producer,200,100,25,standard,878552.0
3lock_consumer,200,100,26,standard,858393.0
3lock_producer,200,100,26,standard,874140.0
3lock_consumer,200,100,27,standard,878690.0
3lock_producer,200,100,27,standard,865566.0
3lock_consumer,200,100,28,standard,863891.0
3lock_producer,200,100,28,standard,882090.0
3lock_consumer,200,100,29,standard,858755.0
3lock_producer,200,100,29,standard,864101.0
3lock_consumer,200,100,30,standard,891320.0
3lock_producer,200,100,30,standard,896126.0
3lock_consumer,200,100,31,standard,866102.0
3lock_producer,200,100,31,standard,898869.0
3lock_consumer,200,100,32,standard,877027.0
3lock_producer,200,100,32,standard,896397.0
3lock_consumer,200,100,33,standard,882912.0
3lock_producer,200,100,33,standard,913154.0
3lock_consumer,200,100,34,standard,869032.0
3lock_producer,200,100,34,standard,887560.0
3lock_consumer,200,100,35,standard,881691.0
3lock_producer,200,100,35,standard,887827.0
3lock_consumer,200,100,36,standard,886791.0
3lock_producer,200,100,36,standard,933164.0
3lock_consumer,200,100,37,standard,875422.0
3lock_producer,200,100,37,standard,838986.0
3lock_consumer,200,100,38,standard,867667.0
3lock_producer,200,100,38,standard,890856.0
3lock_consumer,200,100,39,standard,904810.0
3lock_producer,200,100,39,standard,883893.0
3lock_consumer,200,100,40,standard,882680.0
3lock_producer,200,100,40,standard,885269.0
3lock_consumer,200,100,41,standard,874156.0
3lock_producer,200,100,41,standard,890068.0
3lock_consumer,200,100,42,standard,883472.0
3lock_producer,200,100,42,standard,873850.0
3lock_consumer,200,100,43,standard,924605.0
3lock_producer,200,100,43,standard,895550.0
3lock_consumer,200,100,44,standard,910572.0
3lock_producer,200,100,44,standard,892318.0
3lock_consumer,200,100,45,standard,911161.0
3lock_producer,200,100,45,standard,883826.0
3lock_consumer,200,100,46,standard,912506.0
3lock_producer,200,100,46,standard,850942.0
3lock_consumer,200,100,47,standard,871530.0
3lock_producer,200,100,47,standard,887954.0
3lock_consumer,200,100,48,standard,899892.0
3lock_producer,200,100,48,standard,869530.0
3lock_consumer,200,100,49,standard,886898.0
3lock_producer,200,100,49,standard,877345.0
3lock_consumer,200,100,50,standard,876676.0
3lock_producer,200,100,50,standard,908664.0
3lock_consumer,200,100,51,standard,880313.0
3lock_producer,200,100,51,standard,899924.0
3lock_consumer,200,100,52,standard,888301.0
3lock_producer,200,100,52,standard,882945.0
3lock_consumer,200,100,53,standard,904867.0
3lock_producer,200,100,53,standard,869811.0
3lock_consumer,200,100,54,standard,848306.0
3lock_producer,200,100,54,standard,878752.0
3lock_consumer,200,100,55,standard,857456.0
3lock_producer,200,100,55,standard,882599.0
3lock_consumer,200,100,56,standard,905634.0
3lock_producer,200,100,56,standard,876043.0
3lock_consumer,200,100,57,standard,896741.0
3lock_producer,200,100,57,standard,879988.0
3lock_consumer,200,100,58,standard,872792.0
3lock_producer,200,100,58,standard,901408.0
3lock_consumer,200,100,59,standard,902396.0
3lock_producer,200,100,59,standard,865513.0
3lock_consumer,200,100,60,standard,873510.0
3lock_producer,200,100,60,standard,877442.0
3lock_consumer,200,100,61,standard,904632.0
3lock_producer,200,100,61,standard,890821.0
3lock_consumer,200,100,62,standard,870012.0
3lock_producer,200,100,62,standard,890266.0
3lock_consumer,200,100,63,standard,859394.0
3lock_producer,200,100,63,standard,856317.0
3lock_consumer,200,100,64,standard,891092.0
3lock_producer,200,100,64,standard,885138.0
3lock_consumer,200,100,65,standard,871036.0
3lock_producer,200,100,65,standard,905286.0
3lock_consumer,200,100,66,standard,875790.0
3lock_producer,200,100,66,standard,860606.0
3lock_consumer,200,100,67,standard,896058.0
3lock_producer,200,100,67,standard,885701.0
3lock_consumer,200,100,68,standard,890293.0
3lock_producer,200,100,68,standard,884858.0
3lock_consumer,200,100,69,standard,864180.0
3lock_producer,200,100,69,standard,885374.0
3lock_consumer,200,100,70,standard,850984.0
3lock_producer,200,100,70,standard,875984.0
3lock_consumer,200,100,71,standard,883606.0
3lock_producer,200,100,71,standard,884937.0
3lock_consumer,200,100,72,standard,904851.0
