function,bufferSize,PKNumber,chunkSize,genName,time
3lock_consumer,20,10,1,standard,72535.0
3lock_producer,20,10,1,standard,74025.0
3lock_consumer,20,10,2,standard,74442.0
3lock_producer,20,10,2,standard,74972.0
3lock_consumer,20,10,3,standard,74818.0
3lock_producer,20,10,3,standard,74203.0
3lock_consumer,20,10,4,standard,73870.0
3lock_producer,20,10,4,standard,75553.0
3lock_consumer,20,10,5,standard,76413.0
3lock_producer,20,10,5,standard,77055.0
3lock_consumer,20,10,6,standard,78245.0
3lock_producer,20,10,6,standard,75593.0
3lock_consumer,20,10,7,standard,77041.0
3lock_producer,20,10,7,standard,75478.0
3lock_consumer,20,10,8,standard,79211.0
3lock_producer,20,10,8,standard,76926.0
3lock_consumer,20,10,9,standard,79777.0
3lock_producer,20,10,9,standard,76694.0
3lock_consumer,20,10,10,standard,81168.0
3lock_producer,20,10,10,standard,80525.0
3lock_consumer,20,10,11,standard,78506.0
3lock_producer,20,10,11,standard,81996.0
3lock_consumer,20,10,12,standard,81903.0
3lock_producer,20,10,12,standard,82159.0
3lock_consumer,20,10,13,standard,81755.0
3lock_producer,20,10,13,standard,84185.0
3lock_consumer,20,10,14,standard,83255.0
3lock_producer,20,10,14,standard,83282.0
3lock_consumer,20,10,15,standard,85122.0
3lock_producer,20,10,15,standard,84505.0
3lock_consumer,20,10,16,standard,82677.0
3lock_producer,20,10,16,standard,84889.0
3lock_consumer,20,10,17,standard,85016.0
3lock_producer,20,10,17,standard,84495.0
3lock_consumer,20,10,18,standard,84905.0
3lock_producer,20,10,18,standard,85684.0
3lock_consumer,20,10,19,standard,87076.0
3lock_producer,20,10,19,standard,85912.0
2cond_consumer,20,10,1,standard,11790.0
2cond_producer,20,10,1,standard,11774.0
2cond_consumer,20,10,2,standard,24250.0
2cond_producer,20,10,2,standard,23849.0
2cond_consumer,20,10,3,standard,37205.0
2cond_producer,20,10,3,standard,36096.0
2cond_consumer,20,10,4,standard,51260.0
2cond_producer,20,10,4,standard,50464.0
2cond_consumer,20,10,5,standard,64097.0
2cond_producer,20,10,5,standard,65382.0
2cond_consumer,20,10,6,standard,79113.0
2cond_producer,20,10,6,standard,80104.0
2cond_consumer,20,10,7,standard,94948.0
2cond_producer,20,10,7,standard,95702.0
2cond_consumer,20,10,8,standard,112445.0
2cond_producer,20,10,8,standard,111634.0
2cond_consumer,20,10,9,standard,130120.0
2cond_producer,20,10,9,standard,132699.0
2cond_consumer,20,10,10,standard,153134.0
2cond_producer,20,10,10,standard,152797.0
2cond_consumer,20,10,11,standard,173286.0
2cond_producer,20,10,11,standard,174508.0
2cond_consumer,20,10,12,standard,200098.0
2cond_producer,20,10,12,standard,196524.0
2cond_consumer,20,10,13,standard,225082.0
2cond_producer,20,10,13,standard,226078.0
2cond_consumer,20,10,14,standard,254865.0
2cond_producer,20,10,14,standard,254488.0
2cond_consumer,20,10,15,standard,282457.0
2cond_producer,20,10,15,standard,281562.0
2cond_consumer,20,10,16,standard,312077.0
2cond_producer,20,10,16,standard,314171.0
2cond_consumer,20,10,17,standard,344219.0
2cond_producer,20,10,17,standard,343661.0
2cond_consumer,20,10,18,standard,370624.0
2cond_producer,20,10,18,standard,367477.0
2cond_consumer,20,10,19,standard,387480.0
2cond_producer,20,10,19,standard,389167.0
4cond_consumer,20,10,1,standard,610960.0
4cond_producer,20,10,1,standard,322475.0
4cond_consumer,20,10,2,standard,546221.0
4cond_producer,20,10,2,standard,530759.0
4cond_consumer,20,10,3,standard,390450.0
4cond_producer,20,10,3,standard,254841.0
4cond_consumer,20,10,4,standard,307409.0
4cond_producer,20,10,4,standard,456574.0
4cond_consumer,20,10,5,standard,470229.0
4cond_producer,20,10,5,standard,366569.0
4cond_consumer,20,10,6,standard,553007.0
4cond_producer,20,10,6,standard,310154.0
4cond_consumer,20,10,7,standard,617106.0
4cond_producer,20,10,7,standard,356022.0
4cond_consumer,20,10,8,standard,309998.0
4cond_producer,20,10,8,standard,495971.0
4cond_consumer,20,10,9,standard,191580.0
