class,bufferSize,P+K,idx,executions
producer3lock,100,10,0,37408
producer3lock,100,10,1,39541
producer3lock,100,10,2,39600
producer3lock,100,10,3,36131
producer3lock,100,10,4,38376
producer3lock,100,10,5,33408
producer3lock,100,10,6,38318
producer3lock,100,10,7,40857
producer3lock,100,10,8,37213
producer3lock,100,10,9,39507
consumer3lock,100,10,0,40283
consumer3lock,100,10,1,38552
consumer3lock,100,10,2,37064
consumer3lock,100,10,3,37388
consumer3lock,100,10,4,38874
consumer3lock,100,10,5,36924
consumer3lock,100,10,6,37423
consumer3lock,100,10,7,38649
consumer3lock,100,10,8,36717
consumer3lock,100,10,9,38509
producer3lock,100,10,0,29994
producer3lock,100,10,1,14127
producer3lock,100,10,2,34944
producer3lock,100,10,3,12948
producer3lock,100,10,4,24019
producer3lock,100,10,5,14266
producer3lock,100,10,6,38018
producer3lock,100,10,7,15869
producer3lock,100,10,8,21129
producer3lock,100,10,9,14530
consumer3lock,100,10,0,13689
consumer3lock,100,10,1,29701
consumer3lock,100,10,2,19452
consumer3lock,100,10,3,26583
consumer3lock,100,10,4,12834
consumer3lock,100,10,5,27007
consumer3lock,100,10,6,22037
consumer3lock,100,10,7,25897
consumer3lock,100,10,8,12501
consumer3lock,100,10,9,30101
producer3lock,100,10,0,41376
producer3lock,100,10,1,16009
producer3lock,100,10,2,19784
producer3lock,100,10,3,16337
producer3lock,100,10,4,45011
producer3lock,100,10,5,17670
producer3lock,100,10,6,21148
producer3lock,100,10,7,15357
producer3lock,100,10,8,39374
producer3lock,100,10,9,17281
consumer3lock,100,10,0,14414
consumer3lock,100,10,1,37252
consumer3lock,100,10,2,15291
consumer3lock,100,10,3,35135
consumer3lock,100,10,4,16338
consumer3lock,100,10,5,32969
consumer3lock,100,10,6,16244
consumer3lock,100,10,7,31652
consumer3lock,100,10,8,15735
consumer3lock,100,10,9,34543
producer3lock,100,10,0,26057
producer3lock,100,10,1,13102
producer3lock,100,10,2,25635
producer3lock,100,10,3,19246
producer3lock,100,10,4,27405
producer3lock,100,10,5,13352
producer3lock,100,10,6,27166
producer3lock,100,10,7,20279
producer3lock,100,10,8,30496
producer3lock,100,10,9,11533
consumer3lock,100,10,0,18262
consumer3lock,100,10,1,9871
consumer3lock,100,10,2,43029
consumer3lock,100,10,3,12397
consumer3lock,100,10,4,20769
consumer3lock,100,10,5,11952
consumer3lock,100,10,6,51332
consumer3lock,100,10,7,13682
consumer3lock,100,10,8,18708
consumer3lock,100,10,9,13982
producer3lock,100,10,0,203344
producer3lock,100,10,1,72321
producer3lock,100,10,2,115923
producer3lock,100,10,3,99912
producer3lock,100,10,4,192035
producer3lock,100,10,5,71159
producer3lock,100,10,6,113547
producer3lock,100,10,7,96534
producer3lock,100,10,8,184026
producer3lock,100,10,9,69009
consumer3lock,100,10,0,109042
consumer3lock,100,10,1,166886
consumer3lock,100,10,2,67401
consumer3lock,100,10,3,144416
consumer3lock,100,10,4,104450
consumer3lock,100,10,5,147573
consumer3lock,100,10,6,67586
consumer3lock,100,10,7,148962
consumer3lock,100,10,8,108686
consumer3lock,100,10,9,154784
producer3lock,100,10,0,25327
producer3lock,100,10,1,18336
producer3lock,100,10,2,25399
producer3lock,100,10,3,13189
producer3lock,100,10,4,22404
producer3lock,100,10,5,20319
producer3lock,100,10,6,25743
producer3lock,100,10,7,12038
producer3lock,100,10,8,27725
producer3lock,100,10,9,20951
consumer3lock,100,10,0,40210
consumer3lock,100,10,1,12304
consumer3lock,100,10,2,15385
consumer3lock,100,10,3,11854
consumer3lock,100,10,4,44184
consumer3lock,100,10,5,9990
consumer3lock,100,10,6,13522
consumer3lock,100,10,7,10519
consumer3lock,100,10,8,42952
consumer3lock,100,10,9,10457
producer3lock,100,10,0,1229107
producer3lock,100,10,1,597079
producer3lock,100,10,2,645118
producer3lock,100,10,3,574820
producer3lock,100,10,4,1154789
producer3lock,100,10,5,573459
producer3lock,100,10,6,649756
producer3lock,100,10,7,578117
producer3lock,100,10,8,1220940
producer3lock,100,10,9,537513
consumer3lock,100,10,0,704838
consumer3lock,100,10,1,945769
consumer3lock,100,10,2,482904
consumer3lock,100,10,3,935382
consumer3lock,100,10,4,723229
consumer3lock,100,10,5,913264
consumer3lock,100,10,6,470755
consumer3lock,100,10,7,950983
consumer3lock,100,10,8,712375
consumer3lock,100,10,9,932531
producer3lock,100,10,0,1064751
producer3lock,100,10,1,469770
producer3lock,100,10,2,555722
producer3lock,100,10,3,500476
producer3lock,100,10,4,1039916
producer3lock,100,10,5,480214
producer3lock,100,10,6,563404
producer3lock,100,10,7,504584
producer3lock,100,10,8,1058662
producer3lock,100,10,9,475239
consumer3lock,100,10,0,573862
consumer3lock,100,10,1,802918
consumer3lock,100,10,2,451931
consumer3lock,100,10,3,806313
consumer3lock,100,10,4,605026
